;;;;;
quelques;qq;qqs;qques;qlqs;quelque
silence;sil;;;;
appartement;app;appart;apprt;;
fond d’air;fond;fd a;f d’r;fond air;fd air
circulation;circul;circu(s)?;circl;;
restaurant;resto(s)?;restau;;;
discussion;discut(.*);;;;
voix;vx;;;;
parole;parl(.*);;;;
figuration;figu;;;;
oiseaux;oisx;oiso(s)?;piaf(s)?;;
chuchotement;chuchotis;chuchot(.*);murmur(.*);;
interieur;int;;;;
toilettes;wc;;;;
etrange;strange;;;;
presence;pres;prsce;;;
reverberation;reverberant;reverb;rvrb;rvb;rev
frigo;refrigerateur;frigidaire;;;
porte;pte;prte;;;
porte ouverte;PO;;;;
porte fermée;PF;;;;
fenetre ouverte;FO;;;;
fenetre fermee;FF;;;;
elements;elem;elts;;;
passage;pass;;;;
interieur;int;;;;
salle de bain;sdb;;;;
eglise;chapelle;;;;
